date,amount
24/05/2025,1
24/05/2025,1000.00
01/08/2025,100
01/08/2025,2690.00
01/08/2025,2640.00
02/08/2025,60
02/08/2025,72
02/08/2025,209
02/08/2025,87
03/08/2025,210
03/08/2025,64
03/08/2025,52
03/08/2025,1029.05
04/08/2025,186
04/08/2025,31
04/08/2025,1450.00
04/08/2025,250
04/08/2025,2000.00
05/08/2025,2217.00
05/08/2025,137
07/08/2025,696
09/08/2025,1002.00
11/08/2025,989.05
11/08/2025,60
11/08/2025,5000.00
12/08/2025,447
12/08/2025,777
13/08/2025,163
14/08/2025,2582.00
15/08/2025,219
15/08/2025,920
15/08/2025,1629.00
16/08/2025,120
16/08/2025,250
16/08/2025,580
16/08/2025,608
17/08/2025,50
17/08/2025,25
17/08/2025,75
17/08/2025,72
18/08/2025,1731.00
19/08/2025,223
19/08/2025,235
20/08/2025,48
21/08/2025,1500.00
21/08/2025,20000.00
23/08/2025,1254.00
23/08/2025,10
24/08/2025,143
24/08/2025,140
26/08/2025,4234.00
26/08/2025,814
27/08/2025,500
27/08/2025,156
27/08/2025,190
27/08/2025,350
28/08/2025,868.5
29/08/2025,361
29/08/2025,3093.00
02/09/2025,112
02/09/2025,398
02/09/2025,80
02/09/2025,1023.00
02/09/2025,2156.00
03/09/2025,245
04/09/2025,5
04/09/2025,100
06/09/2025,250
06/09/2025,250
06/09/2025,1030.00
06/09/2025,975
06/09/2025,40
06/09/2025,13
06/09/2025,1000.00
08/09/2025,2000.00
09/09/2025,4413.00
09/09/2025,406.87
11/09/2025,142
15/09/2025,1040.00
15/09/2025,280
19/09/2025,2310.00
21/09/2025,565
21/09/2025,339
24/09/2025,445
24/09/2025,35
24/09/2025,146
27/09/2025,2889.00
27/09/2025,365
27/09/2025,130
27/09/2025,570
29/09/2025,90
30/09/2025,1324.00
30/09/2025,550
02/10/2025,108
02/10/2025,60
02/10/2025,360
03/10/2025,90
03/10/2025,2046.00
04/10/2025,250
04/10/2025,250
04/10/2025,630
04/10/2025,1500.00
05/10/2025,24
05/10/2025,40
06/10/2025,164
07/10/2025,20
11/10/2025,685
12/10/2025,598
12/10/2025,1320.00
13/10/2025,3809.00
14/10/2025,360
15/10/2025,317
17/10/2025,2000.00
17/10/2025,1658.00
19/10/2025,30
21/10/2025,334.5
22/10/2025,5000.00
24/10/2025,420
24/10/2025,260
24/10/2025,2958.00
26/10/2025,1
26/10/2025,418
29/10/2025,851
30/10/2025,145
30/10/2025,971
30/10/2025,298
30/10/2025,309
31/10/2025,123
31/10/2025,50
31/10/2025,533
01/11/2025,2300.00
01/11/2025,2294.00
03/11/2025,430
03/11/2025,2198.00
13/11/2025,232.65
14/11/2025,35
15/11/2025,1505.00
16/11/2025,200
18/11/2025,650
22/11/2025,98
23/11/2025,"10000.00"
28/11/2025,375
29/11/2025,"1150.00"
29/11/2025,312
29/11/2025,"1700.00"
29/11/2025,"1398.00"
30/11/2025,300
30/11/2025,366
30/11/2025,130
30/11/2025,75
30/11/2025,"5821.00"
01/12/2025,300
01/12/2025,661
01/12/2025,310
01/12/2025,24
05/12/2025,700
12/12/2025,"1500.00"
15/12/2025,27
15/12/2025,16
16/12/2025,"1060.00"
17/12/2025,311
17/12/2025,450
17/12/2025,87
18/12/2025,6
19/12/2025,25
19/12/2025,40
21/12/2025,564
24/12/2025,"8755.00"
25/12/2025,868.5
25/12/2025,195
27/12/2025,80
27/12/2025,"1000.00"
27/12/2025,80
27/12/2025,65
27/12/2025,90
28/12/2025,210
29/12/2025,100
29/12/2025,"4500.00"
29/12/2025,93
29/12/2025,492
29/12/2025,70
01/01/2026,"2000.00"
01/01/2026,100
02/01/2026,550
03/01/2026,"2464.00"
03/01/2026,250
03/01/2026,250
03/01/2026,"1660.00"
05/01/2026,10.4
08/01/2026,77
08/01/2026,"4579.00"
20/01/2026,"23000.00"
21/01/2026,102
21/01/2026,261
21/01/2026,"8578.00"
25/01/2026,270
26/01/2026,60
26/01/2026,"4887.00"
27/01/2026,53
27/01/2026,160
29/01/2026,80
29/01/2026,120
01/02/2026,"2800.00"
02/02/2026,20.4
02/02/2026,6
03/02/2026,13
03/02/2026,70
03/02/2026,212
03/02/2026,"2354.00"
04/02/2026,6
04/02/2026,4.2
04/02/2026,868.5
06/02/2026,10
06/02/2026,"2250.00"
07/02/2026,200
07/02/2026,120
08/02/2026,"4487.00"
09/02/2026,13
09/02/2026,9
